交通类型代码,交通类型中文,route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,trip_headsign_泰文,trip_headsign_英文
2,铁路,2339,3,6522,กรุงเทพอภิวัฒน์;Bangkok (Krung Thep Aphiwat),1,3072,2,กรุงเทพอภิวัฒน์,Bangkok (Krung Thep Aphiwat)
2,铁路,2340,1,6523,กรุงเทพอภิวัฒน์;Bangkok (Krung Thep Aphiwat),1,3073,2,กรุงเทพอภิวัฒน์,Bangkok (Krung Thep Aphiwat)
2,铁路,2341,1,6524,กรุงเทพอภิวัฒน์;Bangkok (Krung Thep Aphiwat),1,3074,2,กรุงเทพอภิวัฒน์,Bangkok (Krung Thep Aphiwat)
2,铁路,2342,1,6525,กรุงเทพอภิวัฒน์;Bangkok (Krung Thep Aphiwat),1,3075,2,กรุงเทพอภิวัฒน์,Bangkok (Krung Thep Aphiwat)
2,铁路,2731,3,7925,เชียงใหม่;Chiang Mai,0,4535,2,เชียงใหม่,Chiang Mai
2,铁路,83,3,7926,ราชบุรี;Ratchaburi,0,4536,2,ราชบุรี,Ratchaburi
2,铁路,2732,3,7927,ชุมทางแก่งคอย;Kaeng Khoi Junction,0,4537,2,ชุมทางแก่งคอย,Kaeng Khoi Junction
2,铁路,2733,3,7928,อุบลราชธานี;Ubon Ratchathani,0,4538,2,อุบลราชธานี,Ubon Ratchathani
2,铁路,2177,3,7929,ชุมทางหาดใหญ่;Hat Yai Junction,0,4539,2,ชุมทางหาดใหญ่,Hat Yai Junction
2,铁路,2340,1,7930,กรุงเทพอภิวัฒน์;Bangkok (Krung Thep Aphiwat),1,4540,2,กรุงเทพอภิวัฒน์,Bangkok (Krung Thep Aphiwat)
2,铁路,2178,3,7931,สุไหงโก-ลก;Su-Ngai Kolok,0,4541,2,สุไหงโก-ลก,Su-Ngai Kolok
2,铁路,2734,3,7932,เชียงใหม่;Chiang Mai,0,4542,2,เชียงใหม่,Chiang Mai
2,铁路,2341,3,7933,SRT กรุงเทพอภิวัฒน์;SRT Bangkok (Krung Thep Aphiwat),1,4543,2,SRT กรุงเทพอภิวัฒน์,SRT Bangkok (Krung Thep Aphiwat)
2,铁路,2735,3,7934,กรุงเทพอภิวัฒน์;Bangkok (Krung Thep Aphiwat),0,4544,2,กรุงเทพอภิวัฒน์,Bangkok (Krung Thep Aphiwat)
2,铁路,2736,3,7935,หนองคาย;Nong Khai,0,4545,2,หนองคาย,Nong Khai
2,铁路,2737,3,7936,กรุงเทพอภิวัฒน์;Bangkok (Krung Thep Aphiwat),0,4546,2,กรุงเทพอภิวัฒน์,Bangkok (Krung Thep Aphiwat)
2,铁路,2738,1,7937,รังสิต;Rangsit,1,4547,2,รังสิต,Rangsit
2,铁路,2739,1,7938,รังสิต;Rangsit,1,4548,2,รังสิต,Rangsit
2,铁路,2740,1,7939,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,4549,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,28,3,7940,SRT สุไหงโก-ลก;SRT Su-Ngai Kolok,0,4550,2,SRT สุไหงโก-ลก,SRT Su-Ngai Kolok
2,铁路,29,3,7941,SRT กรุงเทพอภิวัฒน์;SRT Bangkok (Krung Thep Aphiwat),1,4551,2,SRT กรุงเทพอภิวัฒน์,SRT Bangkok (Krung Thep Aphiwat)
2,铁路,2181,3,7942,SRT สุราษฎร์ธานี;SRT Surat Thani,0,4552,2,SRT สุราษฎร์ธานี,SRT Surat Thani
2,铁路,2741,1,7943,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,4553,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2742,1,7944,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,4554,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
2,铁路,2743,1,7945,กรุงเทพอภิวัฒน์;Krung Thep Aphiwat,1,4555,2,กรุงเทพอภิวัฒน์,Krung Thep Aphiwat
